"id"	"project_id"	"window_start"	"window_end"	"commit_count"	"additions"	"deletions"	"log_hours"	"smooth_commit_rate"	"compound_score"	"created_at"
"1"	"2"	"18/3/2025 00:00:00"	"25/3/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"2"	"2"	"25/3/2025 00:00:00"	"1/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"3"	"2"	"1/4/2025 00:00:00"	"8/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"4"	"2"	"8/4/2025 00:00:00"	"15/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"5"	"2"	"15/4/2025 00:00:00"	"22/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"6"	"2"	"22/4/2025 00:00:00"	"29/4/2025 00:00:00"	"0"	"0"	"0"	"1"	"0"	"0.06666666666666667"	"12/5/2025 21:29:00"
"7"	"2"	"29/4/2025 00:00:00"	"6/5/2025 00:00:00"	"0"	"0"	"0"	"6"	"0"	"0.4"	"12/5/2025 21:29:00"
"8"	"3"	"27/3/2025 00:00:00"	"3/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0"	"0"	"12/5/2025 21:29:00"
"9"	"3"	"3/4/2025 00:00:00"	"10/4/2025 00:00:00"	"0"	"0"	"0"	"5"	"0"	"0.33333333333333337"	"12/5/2025 21:29:00"
"10"	"3"	"10/4/2025 00:00:00"	"17/4/2025 00:00:00"	"0"	"0"	"0"	"21"	"0"	"1.4000000000000001"	"12/5/2025 21:29:00"
"11"	"3"	"17/4/2025 00:00:00"	"24/4/2025 00:00:00"	"0"	"0"	"0"	"10"	"0"	"0.6666666666666667"	"12/5/2025 21:29:00"
"12"	"3"	"24/4/2025 00:00:00"	"1/5/2025 00:00:00"	"4"	"96"	"4"	"2"	"0.0020653215471805927"	"0.13457252626164168"	"12/5/2025 21:29:00"
"13"	"3"	"1/5/2025 00:00:00"	"8/5/2025 00:00:00"	"11"	"355"	"18"	"5"	"0.007180398647873923"	"0.33764157252205773"	"12/5/2025 21:29:00"
"14"	"4"	"18/3/2025 00:00:00"	"25/3/2025 00:00:00"	"0"	"0"	"0"	"0"	"0.006638279437308047"	"0.003982967662384828"	"12/5/2025 21:29:00"
"15"	"4"	"25/3/2025 00:00:00"	"1/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0.006166539897226848"	"0.0036999239383361084"	"12/5/2025 21:29:00"
"16"	"4"	"1/4/2025 00:00:00"	"8/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0.005752028448445249"	"0.0034512170690671495"	"12/5/2025 21:29:00"
"17"	"4"	"8/4/2025 00:00:00"	"15/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0.005384687971717927"	"0.0032308127830307557"	"12/5/2025 21:29:00"
"18"	"4"	"15/4/2025 00:00:00"	"22/4/2025 00:00:00"	"0"	"0"	"0"	"0"	"0.005056696616090834"	"0.0030340179696545003"	"12/5/2025 21:29:00"
